entity_id,event_timestamp,feature_timestamp,feature_value
CLM-00698,2025-10-27T00:00:00,2025-10-27T00:00:00,ok
CLM-00577,2026-05-09T00:00:00,2026-05-09T00:00:00,ok
CLM-00763,2026-04-30T00:00:00,2026-04-30T00:00:00,ok
CLM-00790,2026-03-21T00:00:00,2026-03-21T00:00:00,ok
CLM-00520,2025-02-17T00:00:00,2025-02-17T00:00:00,ok
CLM-00825,2025-10-20T00:00:00,2025-10-20T00:00:00,ok
CLM-00958,2025-01-30T00:00:00,2025-01-30T00:00:00,ok
CLM-00996,2026-04-06T00:00:00,2026-04-06T00:00:00,ok
CLM-00817,2025-05-01T00:00:00,2025-05-01T00:00:00,ok
CLM-00152,2026-01-19T00:00:00,2026-01-19T00:00:00,ok
CLM-00517,2025-12-15T00:00:00,2025-12-15T00:00:00,ok
CLM-00384,2025-05-30T00:00:00,2025-05-30T00:00:00,ok
CLM-00881,2026-02-12T00:00:00,2026-02-12T00:00:00,ok
CLM-00247,2025-11-22T00:00:00,2025-11-22T00:00:00,ok
CLM-00170,2026-07-15T00:00:00,2026-07-15T00:00:00,ok
CLM-00908,2026-03-21T00:00:00,2026-03-21T00:00:00,ok
CLM-00536,2025-04-17T00:00:00,2025-04-17T00:00:00,ok
CLM-00636,2026-05-09T00:00:00,2026-05-09T00:00:00,ok
CLM-00300,2026-05-20T00:00:00,2026-05-20T00:00:00,ok
CLM-00807,2025-04-21T00:00:00,2025-04-21T00:00:00,ok
CLM-00784,2025-07-24T00:00:00,2025-07-24T00:00:00,ok
CLM-00755,2026-07-28T00:00:00,2026-07-28T00:00:00,ok
CLM-00224,2026-03-30T00:00:00,2026-03-30T00:00:00,ok
CLM-00428,2025-07-27T00:00:00,2025-07-27T00:00:00,ok
CLM-00088,2025-10-09T00:00:00,2025-10-09T00:00:00,ok
CLM-00153,2026-07-30T00:00:00,2026-07-30T00:00:00,ok
CLM-00624,2026-07-03T00:00:00,2026-07-03T00:00:00,ok
CLM-00147,2026-04-29T00:00:00,2026-04-29T00:00:00,ok
CLM-00870,2026-03-05T00:00:00,2026-03-05T00:00:00,ok
CLM-00596,2025-09-08T00:00:00,2025-09-08T00:00:00,ok
