claim_id,policy_id,event_timestamp,feature_timestamp,claim_amount,fraud_flag
CLM-00507,POL-0405,2026-07-16T00:00:00,2026-07-16T00:00:00,801.68,1
CLM-00818,POL-0368,2025-11-21T00:00:00,2025-11-21T00:00:00,2314.82,1
CLM-00452,POL-0457,2026-01-09T00:00:00,2026-01-09T00:00:00,235.31,0
CLM-00368,POL-0208,2026-08-23T00:00:00,2026-08-23T00:00:00,1595.17,1
CLM-00242,POL-0192,2026-01-15T00:00:00,2026-01-15T00:00:00,5523.61,0
CLM-00929,POL-0256,2026-03-06T00:00:00,2026-03-06T00:00:00,1851.66,0
CLM-00262,POL-0059,2025-12-05T00:00:00,2025-12-01T00:00:00,269.93,0
CLM-00810,POL-0388,2025-05-07T00:00:00,2025-05-07T00:00:00,1997.41,0
CLM-00318,POL-0377,2025-01-13T00:00:00,2025-01-13T00:00:00,6583.45,0
CLM-00049,POL-0313,2026-07-18T00:00:00,2026-07-17T00:00:00,636.62,0
CLM-00446,POL-0496,2026-01-01T00:00:00,2026-01-01T00:00:00,2697.81,0
CLM-00142,POL-0130,2025-12-27T00:00:00,2025-12-27T00:00:00,3328.7,0
CLM-00968,POL-0440,2025-11-19T00:00:00,2025-11-16T00:00:00,1599.97,0
CLM-00345,POL-0378,2025-08-02T00:00:00,2025-08-02T00:00:00,81.16,0
CLM-00971,POL-0094,2025-11-09T00:00:00,2025-11-09T00:00:00,1174.39,0
CLM-00133,POL-0252,2025-04-22T00:00:00,2025-04-22T00:00:00,1313.03,0
CLM-00104,POL-0288,2025-01-16T00:00:00,2025-01-16T00:00:00,1520.63,0
CLM-00006,POL-0020,2026-02-25T00:00:00,2026-02-25T00:00:00,6711.61,0
CLM-00600,POL-0438,2026-03-03T00:00:00,2026-03-03T00:00:00,267.88,0
CLM-00496,POL-0092,2026-04-29T00:00:00,2026-04-29T00:00:00,486.03,0
CLM-00702,POL-0346,2026-05-23T00:00:00,2026-05-23T00:00:00,1612.1,0
CLM-00472,POL-0200,2025-05-31T00:00:00,2025-05-31T00:00:00,633.66,0
CLM-00598,POL-0386,2026-02-06T00:00:00,2026-02-06T00:00:00,1881.33,0
CLM-00502,POL-0189,2025-04-28T00:00:00,2025-04-28T00:00:00,119.7,0
CLM-00433,POL-0031,2024-11-05T00:00:00,2024-11-05T00:00:00,6249.28,0
CLM-00119,POL-0299,2026-03-08T00:00:00,2026-03-08T00:00:00,329.81,0
CLM-00108,POL-0452,2026-08-16T00:00:00,2026-08-16T00:00:00,1702.14,1
CLM-00647,POL-0249,2026-03-04T00:00:00,2026-03-02T00:00:00,2438.54,0
CLM-00589,POL-0499,2025-03-04T00:00:00,2025-03-04T00:00:00,1244.61,0
CLM-00374,POL-0079,2026-02-18T00:00:00,2026-02-18T00:00:00,2031.54,0
CLM-00910,POL-0251,2025-08-24T00:00:00,2025-08-24T00:00:00,6613.25,0
CLM-00718,POL-0070,2025-11-23T00:00:00,2025-11-23T00:00:00,2636.63,0
CLM-00744,POL-0459,2025-04-25T00:00:00,2025-04-25T00:00:00,138.64,0
CLM-00494,POL-0366,2025-12-13T00:00:00,2025-12-13T00:00:00,3798.89,0
CLM-00404,POL-0308,2025-09-02T00:00:00,2025-08-30T00:00:00,1847.35,0
CLM-00274,POL-0127,2025-04-14T00:00:00,2025-04-14T00:00:00,1186.98,0
CLM-00078,POL-0092,2026-06-27T00:00:00,2026-06-27T00:00:00,3565.95,0
CLM-00721,POL-0116,2025-12-16T00:00:00,2025-12-16T00:00:00,563.01,0
CLM-00644,POL-0109,2025-04-02T00:00:00,2025-04-02T00:00:00,23.09,0
CLM-00614,POL-0171,2026-04-16T00:00:00,2026-04-16T00:00:00,306.7,0
CLM-00872,POL-0255,2025-11-25T00:00:00,2025-11-25T00:00:00,582.84,1
CLM-00691,POL-0277,2025-07-18T00:00:00,2025-07-18T00:00:00,3064.84,0
CLM-00090,POL-0435,2025-12-03T00:00:00,2025-12-03T00:00:00,1019.37,0
CLM-00101,POL-0227,2025-04-24T00:00:00,2025-04-24T00:00:00,9696.53,0
CLM-00094,POL-0382,2025-03-02T00:00:00,2025-03-02T00:00:00,1875.47,0
CLM-00577,POL-0147,2026-05-09T00:00:00,2026-05-09T00:00:00,1115.49,0
CLM-00537,POL-0432,2026-04-08T00:00:00,2026-04-07T00:00:00,1074.48,0
CLM-00041,POL-0279,2026-07-29T00:00:00,2026-07-29T00:00:00,36.8,0
CLM-00453,POL-0115,2025-06-20T00:00:00,2025-06-20T00:00:00,2393.04,0
CLM-00995,POL-0133,2025-08-11T00:00:00,2025-08-11T00:00:00,1850.3,0
